#Wavelength[nm]	AOI 10 deg
3000	0.00073
2999	0.00075
2998	0.00076
2997	0.00078
2996	0.0008
2995	0.00082
2994	0.00084
2993	0.00086
2992	0.00088
2991	0.00091
2990	0.00093
2989	0.00095
2988	0.00098
2987	0.001
2986	0.00102
2985	0.00104
2984	0.00106
2983	0.00108
2982	0.0011
2981	0.00112
2980	0.00114
2979	0.00115
2978	0.00116
2977	0.00117
2976	0.00118
2975	0.00119
2974	0.00119
2973	0.00119
2972	0.00119
2971	0.00119
2970	0.00119
2969	0.00118
2968	0.00118
2967	0.00117
2966	0.00116
2965	0.00115
2964	0.00113
2963	0.00112
2962	0.0011
2961	0.00109
2960	0.00107
2959	0.00105
2958	0.00103
2957	0.00101
2956	0.00099
2955	0.00097
2954	0.00095
2953	0.00093
2952	0.00091
2951	0.00089
2950	0.00087
2949	0.00084
2948	0.00082
2947	0.0008
2946	0.00078
2945	0.00076
2944	0.00074
2943	0.00072
2942	0.0007
2941	0.00068
2940	0.00066
2939	0.00064
2938	0.00063
2937	0.00061
2936	0.0006
2935	0.00058
2934	0.00057
2933	0.00056
2932	0.00055
2931	0.00054
2930	0.00053
2929	0.00052
2928	0.00051
2927	0.00051
2926	0.0005
2925	0.0005
2924	0.0005
2923	0.00049
2922	0.00049
2921	0.00049
2920	0.0005
2919	0.0005
2918	0.0005
2917	0.00051
2916	0.00052
2915	0.00053
2914	0.00054
2913	0.00055
2912	0.00056
2911	0.00058
2910	0.0006
2909	0.00062
2908	0.00064
2907	0.00067
2906	0.0007
2905	0.00073
2904	0.00077
2903	0.00081
2902	0.00085
2901	0.0009
2900	0.00095
2899	0.001
2898	0.00106
2897	0.00112
2896	0.00118
2895	0.00123
2894	0.00129
2893	0.00134
2892	0.00139
2891	0.00144
2890	0.00148
2889	0.00152
2888	0.00155
2887	0.00157
2886	0.00159
2885	0.0016
2884	0.00161
2883	0.00162
2882	0.00162
2881	0.00162
2880	0.00161
2879	0.0016
2878	0.00159
2877	0.00157
2876	0.00155
2875	0.00153
2874	0.0015
2873	0.00148
2872	0.00145
2871	0.00142
2870	0.00139
2869	0.00136
2868	0.00133
2867	0.00129
2866	0.00126
2865	0.00122
2864	0.00119
2863	0.00115
2862	0.00112
2861	0.00108
2860	0.00105
2859	0.00101
2858	0.00098
2857	0.00095
2856	0.00092
2855	0.00089
2854	0.00087
2853	0.00084
2852	0.00081
2851	0.00079
2850	0.00077
2849	0.00075
2848	0.00073
2847	0.00072
2846	0.00071
2845	0.0007
2844	0.0007
2843	0.0007
2842	0.0007
2841	0.00071
2840	0.00073
2839	0.00075
2838	0.00078
2837	0.00081
2836	0.00086
2835	0.00091
2834	0.00097
2833	0.00103
2832	0.0011
2831	0.00117
2830	0.00123
2829	0.00128
2828	0.00132
2827	0.00135
2826	0.00137
2825	0.00138
2824	0.00139
2823	0.00138
2822	0.00137
2821	0.00136
2820	0.00135
2819	0.00134
2818	0.00132
2817	0.0013
2816	0.00127
2815	0.00124
2814	0.0012
2813	0.00116
2812	0.00112
2811	0.00108
2810	0.00104
2809	0.00101
2808	0.00098
2807	0.00094
2806	0.00091
2805	0.00088
2804	0.00084
2803	0.0008
2802	0.00076
2801	0.00072
2800	0.00068
2799	0.00064
2798	0.00061
2797	0.00057
2796	0.00054
2795	0.00051
2794	0.00049
2793	0.00046
2792	0.00044
2791	0.00041
2790	0.00038
2789	0.00035
2788	0.00032
2787	0.00029
2786	0.00027
2785	0.00024
2784	0.00021
2783	0.00019
2782	0.00017
2781	0.00015
2780	0.00013
2779	0.00012
2778	0.00011
2777	0.0001
2776	0.00009
2775	0.00008
2774	0.00007
2773	0.00007
2772	0.00006
2771	0.00006
2770	0.00006
2769	0.00005
2768	0.00005
2767	0.00005
2766	0.00005
2765	0.00005
2764	0.00004
2763	0.00004
2762	0.00004
2761	0.00004
2760	0.00004
2759	0.00004
2758	0.00004
2757	0.00004
2756	0.00004
2755	0.00004
2754	0.00004
2753	0.00004
2752	0.00004
2751	0.00004
2750	0.00004
2749	0.00004
2748	0.00004
