#https://www.thorlabs.com/newgrouppage9.cfm?objectgroup_id=15605
#note that this does not include reflectance of surface
#Wavelength (nm)	emittance
200	0.5099644
202	0.4916851
204	0.4729083
206	0.4540632
208	0.4358804
210	0.4190644
212	0.4039989
214	0.3908297
216	0.37869
218	0.366828
220	0.3557166
222	0.3451666
224	0.335087
226	0.3253298
228	0.3157424
230	0.3063584
232	0.2970666
234	0.2883234
236	0.2796203
238	0.2710577
240	0.2624095
242	0.2539065
244	0.2460403
246	0.2382644
248	0.2310271
250	0.2238994
252	0.217292
254	0.2109521
256	0.2050028
258	0.1992493
260	0.1938171
262	0.1885425
264	0.1836486
266	0.178907
268	0.1741282
270	0.1698241
272	0.1656101
274	0.1614372
276	0.1573457
278	0.1532669
280	0.1493679
282	0.1456467
284	0.1419444
286	0.1381485
288	0.1343098
290	0.1308789
292	0.1273609
294	0.1241589
296	0.1212752
298	0.1182988
300	0.115403
302	0.1126027
304	0.110237
306	0.1077298
308	0.1051297
310	0.1027121
312	0.1003249
314	0.0980832
316	0.0958848
318	0.0938311
320	0.0918492
322	0.0897281
324	0.0876133
326	0.0858507
328	0.0839736
330	0.0819647
332	0.0801476
334	0.07871
336	0.077144
338	0.0753522
340	0.073908
342	0.0722575
344	0.070663
346	0.0692865
348	0.0678165
350	0.0665403
352	0.0652052
354	0.0637853
356	0.0626052
358	0.0616655
360	0.0604372
362	0.0592918
364	0.0579852
366	0.0569533
368	0.055838
370	0.0547969
372	0.0538252
374	0.0527637
376	0.0518895
378	0.050908
380	0.0499897
382	0.0489803
384	0.0481966
386	0.0473147
388	0.0466612
390	0.0457248
392	0.0448274
394	0.0440048
396	0.043351
398	0.0425406
400	0.0417865
402	0.0410843
404	0.0402587
406	0.0396099
408	0.0390535
410	0.0383682
412	0.0377269
414	0.0371728
416	0.0365333
418	0.0358722
420	0.0353056
422	0.0347773
424	0.0344617
426	0.033924
428	0.0332464
430	0.0327931
432	0.0322602
434	0.0318147
436	0.0314246
438	0.0309643
440	0.0302514
442	0.0298024
444	0.0294957
446	0.0291269
448	0.0287275
450	0.028296
452	0.0278455
454	0.0275156
456	0.0271723
458	0.02674
460	0.0263791
462	0.0259689
464	0.0255582
466	0.025332
468	0.024953
470	0.0245844
472	0.0241812
474	0.023935
476	0.0236821
478	0.0233329
480	0.0230441
482	0.0227632
484	0.0224816
486	0.022023
488	0.0218117
490	0.0216662
492	0.0212904
494	0.0209701
496	0.0208263
498	0.020639
500	0.0202184
502	0.0199489
504	0.019641
506	0.0195919
508	0.019258
510	0.0190379
512	0.0187999
514	0.0185688
516	0.0183916
518	0.0181637
520	0.0180549
522	0.0177268
524	0.0174956
526	0.0172708
528	0.0171448
530	0.0169032
532	0.0167168
534	0.0165151
536	0.0163874
538	0.016154
540	0.0159825
542	0.01579
544	0.0156446
546	0.0155865
548	0.0154406
550	0.015301
552	0.0151904
554	0.0149798
556	0.0148407
558	0.014597
560	0.0144706
562	0.0143154
564	0.0141865
566	0.0141468
568	0.0139907
570	0.0138446
572	0.0137222
574	0.0135614
576	0.013411
578	0.0133073
580	0.0131847
582	0.0130459
584	0.0129763
586	0.0128495
588	0.0126644
590	0.0125621
592	0.0124613
594	0.0122961
596	0.0121233
598	0.0120077
600	0.0118408
602	0.0117089
604	0.0116289
606	0.0115731
608	0.011501
610	0.0113917
612	0.011286
614	0.0111628
616	0.0110622
618	0.0110188
620	0.0108766
622	0.0107477
624	0.0106184
626	0.0105364
628	0.010423
630	0.0102832
632	0.0102336
634	0.0101519
636	0.0100197
638	0.0099689
640	0.0099413
642	0.0098215
644	0.0098161
646	0.0097677
648	0.0095936
650	0.0095006
652	0.0094187
654	0.0093592
656	0.009284
658	0.009252
660	0.0092263
662	0.0091069
664	0.0090354
666	0.0090213
668	0.0089539
670	0.0088279
672	0.0087715
674	0.0087958
676	0.0087752
678	0.0085699
680	0.0083917
682	0.0083793
684	0.0083487
686	0.0083402
688	0.0083246
690	0.0081906
692	0.0081394
694	0.0081709
696	0.0081632
698	0.0079768
700	0.0077533
702	0.0076529
704	0.0076211
706	0.007684
708	0.0076518
710	0.0076066
712	0.0075737
714	0.0075152
716	0.0074179
718	0.0073748
720	0.007328
722	0.0072539
724	0.0072889
726	0.0072995
728	0.0071615
730	0.0070344
732	0.0069494
734	0.0069402
736	0.0069442
738	0.0069597
740	0.0068441
742	0.0066817
744	0.0066878
746	0.0067691
748	0.0068225
750	0.0067067
752	0.0065899
754	0.0065497
756	0.0064327
758	0.0064228
760	0.0064115
762	0.0063243
764	0.0062441
766	0.0061312
768	0.0060788
770	0.0061444
772	0.0061957
774	0.0061089
776	0.0060713
778	0.0061335
780	0.0060475
782	0.0059924
784	0.006011
786	0.0058117
788	0.0058498
790	0.0060107
792	0.005897
794	0.0057027
796	0.0055817
798	0.0056605
800	0.0057142
802	0.005682
804	0.0056263
806	0.0056082
808	0.005499
810	0.005621
812	0.0056771
814	0.0054989
816	0.0053542
818	0.0052846
820	0.0053046
822	0.005269
824	0.0053912
826	0.0052458
828	0.0049813
830	0.0052783
832	0.0054358
834	0.0053598
836	0.0051617
838	0.004984
840	0.0052672
842	0.0052059
844	0.0052527
846	0.0054139
848	0.0053627
850	0.0050602
852	0.0051192
854	0.0051427
856	0.0050306
858	0.0050828
860	0.0050634
862	0.0055565
864	0.0050944
866	0.0047006
868	0.0047111
870	0.0047225
872	0.0047495
874	0.0048678
876	0.004868
878	0.00476
880	0.0047745
882	0.0049667
884	0.0050386
886	0.0049075
888	0.0049254
890	0.0048075
892	0.0047977
894	0.0047698
896	0.0049009
898	0.0049493
900	0.0049081
902	0.0049491
904	0.0048937
906	0.0048849
908	0.0049245
910	0.0050162
912	0.0048028
914	0.0047185
916	0.0047757
918	0.004724
920	0.0045835
922	0.0048063
924	0.0046878
926	0.0047302
928	0.0046887
930	0.0047286
932	0.0048525
934	0.0049926
936	0.0049233
938	0.0048169
940	0.0046088
942	0.0044293
944	0.0046599
946	0.0047788
948	0.0048627
950	0.0046994
952	0.0047019
954	0.0047602
956	0.0045835
958	0.0046386
960	0.0045506
962	0.0046069
964	0.0047133
966	0.0044798
968	0.0045171
970	0.0045435
972	0.0045439
974	0.0043802
976	0.0044731
978	0.0043756
980	0.0043247
982	0.0044438
984	0.0043404
986	0.0043278
988	0.0046298
990	0.0046105
992	0.0045722
994	0.0044587
996	0.004703
998	0.0043721
1000	0.0041625
1002	0.0042381
1004	0.0044565
1006	0.0044658
1008	0.0043097
1010	0.0041856
1012	0.0042099
1014	0.0042449
1016	0.0042072
1018	0.0042462
1020	0.0042232
1022	0.0042394
1024	0.0041871
1026	0.0043888
1028	0.004189
1030	0.004252
1032	0.0043273
1034	0.0042589
1036	0.0041897
1038	0.004363
1040	0.0042453
1042	0.0042318
1044	0.0042312
1046	0.0041346
1048	0.0038205
1050	0.0038029
1052	0.0039589
1054	0.0040194
1056	0.0040664
1058	0.0041293
1060	0.0039754
1062	0.0039455
1064	0.0038977
1066	0.0041362
1068	0.0038971
1070	0.0041109
1072	0.003887
1074	0.0037656
1076	0.0041374
1078	0.0043051
1080	0.0043134
1082	0.0039903
1084	0.0038391
1086	0.0040113
1088	0.0038504
1090	0.0039322
1092	0.0039695
1094	0.0036961
1096	0.0038344
1098	0.0037462
1100	0.0038794
1102	0.0037991
1104	0.0036115
1106	0.0037784
1108	0.0035303
1110	0.0037565
1112	0.0038416
1114	0.0039356
1116	0.0036385
1118	0.003456
1120	0.0035715
1122	0.0036643
1124	0.0035994
1126	0.003652
1128	0.0035962
1130	0.0036171
1132	0.0035163
1134	0.0035699
1136	0.0035115
1138	0.0035863
1140	0.0035148
1142	0.003541
1144	0.0035004
1146	0.0035278
1148	0.0036686
1150	0.0037391
1152	0.0036354
1154	0.0034282
1156	0.0035784
1158	0.0034451
1160	0.0032824
1162	0.0033588
1164	0.0036278
1166	0.0036085
1168	0.0035163
1170	0.0034937
1172	0.0035751
1174	0.003769
1176	0.0035157
1178	0.0034628
1180	0.0036188
1182	0.0033521
1184	0.003318
1186	0.0033885
1188	0.0033356
1190	0.0035149
1192	0.0034945
1194	0.0035037
1196	0.0034044
1198	0.0033836
1200	0.0034211
1202	0.0034988
1204	0.0031034
1206	0.0030085
1208	0.0032922
1210	0.00343
1212	0.0034322
1214	0.0034838
1216	0.0035967
1218	0.0036303
1220	0.0035219
1222	0.003335
1224	0.0030456
1226	0.0033423
1228	0.0035414
1230	0.0034548
1232	0.0034306
1234	0.0035063
1236	0.0035664
1238	0.0034137
1240	0.0033057
1242	0.0030239
1244	0.0029668
1246	0.0032301
1248	0.0032692
1250	0.0034491
1252	0.0033594
1254	0.0033351
1256	0.0033541
1258	0.0031531
1260	0.0032502
1262	0.0032221
1264	0.0032216
1266	0.0032023
1268	0.0032344
1270	0.0032751
1272	0.003224
1274	0.0033027
1276	0.0029755
1278	0.0029078
1280	0.0030088
1282	0.0032245
1284	0.0029821
1286	0.002906
1288	0.0031664
1290	0.0032331
1292	0.0032361
1294	0.0033075
1296	0.0032874
1298	0.0032135
1300	0.003092
1302	0.0031434
1304	0.003184
1306	0.003276
1308	0.003304
1310	0.0030829
1312	0.0029589
1314	0.0031155
1316	0.0031378
1318	0.0030807
1320	0.0031703
1322	0.0030677
1324	0.0030583
1326	0.0031638
1328	0.0032058
1330	0.0031634
1332	0.0029752
1334	0.0031644
1336	0.0031289
1338	0.0030223
1340	0.002987
1342	0.0031586
1344	0.0031809
1346	0.0030338
1348	0.0029295
1350	0.0027717
1352	0.0028085
1354	0.0029221
1356	0.0031538
1358	0.0031522
1360	0.0029921
1362	0.0029516
1364	0.0030715
1366	0.0028787
1368	0.0029466
1370	0.0031907
1372	0.0031818
1374	0.0033298
1376	0.0034162
1378	0.0034966
1380	0.0035428
1382	0.0035061
1384	0.0033456
1386	0.0030767
1388	0.0030022
1390	0.003132
1392	0.0031778
1394	0.0031685
1396	0.0031052
1398	0.0030405
1400	0.0030269
1402	0.0029229
1404	0.0029197
1406	0.0029753
1408	0.0029222
1410	0.0030407
1412	0.003136
1414	0.0030309
1416	0.0028415
1418	0.0027469
1420	0.002997
1422	0.0030716
1424	0.0030174
1426	0.0029341
1428	0.0028328
1430	0.0029386
1432	0.0029227
1434	0.0028904
1436	0.0029297
1438	0.0028694
1440	0.002826
1442	0.0026993
1444	0.0024708
1446	0.0024665
1448	0.0025549
1450	0.0026131
1452	0.0029316
1454	0.0032781
1456	0.0032023
1458	0.0029308
1460	0.0026883
1462	0.0025847
